variable,distribution,lower   , upper ,label
rate_fer_pla_immi_i4,posnorm,0.125,0.175,Rate of farmer who imitate innovation farmers intervention 4 applying advisories on fertilizer
reduced_times_spray_i1234,norm,0.6,2.4,Number of times spraying pesticide reduced (times/year/1000m2)
reduced_cost_per_time_spray_i1234,norm,100000,150000,Reduced cost per time spray per (vnd/1000m2/time)
times_monitor_increased,norm,0,3,Increase times to go to monitor (times/years/1000m2)
cost_monitor_pest_increased,posnorm,10000,20000,Increased cost for monitoring pests per time (vnd/1000m2/time)
yield_change_i1234,norm,0.125,0.312,Yield change due to applying advisories (ton/ha)
rice_price,posnorm,7000000,10000000,Rice price per ton (VND/ton)
rate_ani_inno_i1,posnorm,0.25,0.35,Rate of innovation farmer intervention 1
rate_ani_immi_i1,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 1
rate_ani_inno_i2,posnorm,0.2,0.3,Rate of innovation farmer intervention 2
rate_ani_immi_i2,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 2
rate_ani_inno_i3,posnorm,0.25,0.35,Rate of innovation farmer intervention 3
rate_ani_immi_i3,posnorm,0.25,0.35,Rate of farmer who imitate innovation farmers intervention 3
rate_ani_inno_i4,posnorm,0.25,0.35,Rate of innovation farmer intervention 4
rate_ani_immi_i4,posnorm,0.125,0.175,Rate of farmer who imitate innovation farmers intervention 4
total_buffalo_i1234,posnorm,23267,26197,Total buffalo heads in the district (buffalo)
price_buffalo_i1234,posnorm,20000000,35000000,Price per buffalo (VND/1 buffalo)
chance_extreme_cold,tnorm_0_1,0.2,0.5,Chance having extreme cold every year
reduced_death_animal_i1,posnorm,0.005,0.01,Percentage of animal death reduced thanks to advisories intervention 1
reduced_death_animal_i2,posnorm,0.002,0.01,Percentage of animal death reduced thanks to advisories intervention 2
reduced_death_animal_i3,posnorm,0.005,0.02,Percentage of animal death reduced thanks to advisories intervention 3
reduced_death_animal_i4,posnorm,0.002,0.01,Percentage of animal death reduced thanks to advisories intervention 4
total_cow_i1234,posnorm,15187,17093,Total cow head in the district (cow)
price_cow_i1234,posnorm,15000000,25000000,Price per cow (VND/cow)
area_pond_impacted_i1234,posnorm,2,6,Pond area at risk of pesticide (thousand m2)
chance_reduced_risk_fish_death,posnorm,0.7,0.95,Chance to reduce death thanks to advisories
lost_fish_i1234,posnorm,15000000,30000000,Fish loss due to pesticide per one thousand m2 (VND/1000m2)
reduced_water_expenditure_i1234,posnorm,2000,100000,Reduced expenditure on water (VND/households)
percent_pollution_reduction_i1234,norm,0.001,0.15,Percentage of pollution reduction of advices
new_income_farm_peryear_i12,norm,10000,750000,New income from onfarm activities per year (VND/households/year)
rate_farm,posnorm,0.3,0.5,Percent of farmers who practice more on farm
new_income_nonfarm_peryear_i12,norm,10000,15000000,New income from nonfarm activities per year (VND/households/year)
rate_nonfarm,posnorm,0.15,0.25,Percent of farmers who practice more non farm
gender_coverage,posnorm,0.1,0.15,Coverage of gender activity in the community
reduced_expenditure_health_i1234,norm,10000,100000000,Reduced health expenditure (VND/household)
number_staff_i1234,posnorm,6,7,Number of staff participating in intervention (staff)
income_increased_staff_only_year2345_i1234,norm,2500000,20000000,Economic value generated due to self additional farming and (free) advisories for neighbor or relative (VND/staff)
methan_reduction_co2eq,norm,-34875,17437,Methane reduction (tonCO2eq/year) from water management and organic matter application
nito_oxide_reduction_co2eq,norm,100,1062,Nito oxide reduction (ton CO2eq/year) due to reduced use of N synthetic fertilizers
carbon_price,norm,0,3486,Carbon price per ton (VND)
